"ID","Title","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On","is_converted"
"C437","User can register via email on mobile app","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","Medium","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C438","User sees error when entering invalid email","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","Medium","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C439","User sees error when entering invalid  password","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","Medium","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C440","User can select role during registration","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","Medium","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C441","User should sees error when value in field 'Repeat password' is diffrent than in field 'password","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C442","User should be able to register via Google account","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C443","User should be able to register via LinkedIn","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C444","User should be able to register via GitHub account","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C445","User should be able to register after fill required fields with valid value and clicking 'Create Account' button","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign Up","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C446","The Sign In page should have the “Sign up” link which redirects to the “Sign up” page","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign In","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C447","The Sign In page should have the “Forgot the password” link which redirects to the “Forgot password” page","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign In","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C448","User should be able to log in by entering  valid email and password","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign In","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C449","User should see error message appears when using invalid credentials","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign In","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C450","Password input is masked","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Sign In","1","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C451","User should can create recruiter or candidate profile after registration","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Profile Settings","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C452","User should can switch between recruiter and candidate profiles","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Profile Settings","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C453","User should can edit profile information","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Profile Settings","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C454","Recruiter should can starts chat with candidate from candidates list","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C455","Recruiter should can starts chat with candidate from candidate profile","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C456","Recruiter should  cannot see candidate contacts before chat starts","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C457","Candidate should can open contact details after chat request","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C458","Candidate schould can declines recruiter’s chat request","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C459","Recruiter should can sends offer to candidate","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C460","Recruiter should can marks chat as rejected","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C461","User should be able to archives chat","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
"C462","User should be able to  marks chat as favourite","","Paweł Błaszczyk","10/21/2025 10:47 AM","","","High","","Chat features","0","","Master","S7","Other","Paweł Błaszczyk","10/21/2025 10:47 AM","0"
